frame,latencia_ms,num_deteccoes,confianca_media
0,32.26,2,0.709
1,21.48,2,0.620
2,19.75,2,0.718
3,22.97,2,0.654
4,19.89,2,0.684
5,20.21,2,0.734
6,19.97,2,0.725
7,20.13,2,0.739
8,20.33,1,0.427
9,20.25,2,0.326
10,20.32,2,0.520
11,19.81,1,0.254
12,20.18,1,0.412
13,20.31,2,0.407
14,20.44,2,0.289
15,20.67,0,0.000
16,19.57,0,0.000
17,20.01,0,0.000
18,20.51,0,0.000
19,19.97,1,0.319
20,22.67,1,0.296
21,20.45,1,0.578
22,23.17,3,0.451
23,20.80,2,0.704
24,19.82,2,0.704
25,22.33,2,0.714
26,20.22,2,0.501
27,20.29,2,0.530
28,20.47,1,0.833
29,20.87,2,0.570
30,20.61,1,0.524
31,20.60,1,0.441
32,23.19,1,0.433
33,19.79,1,0.452
34,20.64,1,0.357
35,21.31,2,0.402
36,21.83,2,0.332
37,19.81,1,0.291
38,23.23,1,0.397
39,21.14,2,0.304
40,21.34,2,0.319
41,20.45,4,0.373
42,18.95,3,0.522
43,20.07,3,0.597
44,19.86,3,0.573
45,21.09,3,0.592
46,20.37,3,0.586
47,22.49,4,0.572
48,22.45,6,0.503
49,22.43,4,0.596
50,22.92,6,0.519
51,20.62,7,0.502
52,20.10,5,0.547
53,20.29,6,0.522
54,22.45,7,0.536
55,19.93,7,0.541
56,21.07,7,0.529
57,19.72,5,0.562
58,20.23,7,0.532
59,20.44,6,0.498
60,20.56,7,0.515
61,22.79,7,0.520
62,20.42,6,0.539
63,20.24,5,0.599
64,20.19,6,0.597
65,22.58,6,0.593
66,19.73,5,0.637
67,20.01,6,0.585
68,19.98,6,0.571
69,20.81,6,0.686
70,20.59,6,0.675
71,19.93,6,0.612
72,20.39,5,0.683
73,22.95,4,0.647
74,22.43,6,0.572
75,19.77,6,0.669
76,23.75,6,0.668
77,20.30,7,0.622
78,20.05,6,0.597
79,21.22,6,0.597
80,20.12,4,0.629
81,21.98,6,0.548
82,20.36,6,0.510
83,20.10,4,0.549
84,20.10,4,0.573
85,20.13,4,0.558
86,20.37,5,0.470
87,20.83,5,0.493
88,21.25,3,0.653
89,20.51,4,0.626
90,20.66,4,0.539
91,20.70,3,0.693
92,21.30,4,0.556
93,22.21,4,0.551
94,20.51,6,0.485
95,19.90,6,0.497
96,20.51,5,0.583
97,20.09,4,0.716
98,19.81,6,0.569
99,22.73,4,0.696
100,22.41,5,0.580
101,20.22,5,0.619
102,22.92,6,0.533
103,20.08,5,0.615
104,20.46,6,0.565
105,20.18,6,0.618
106,20.68,6,0.586
107,21.69,6,0.637
108,23.05,5,0.630
109,21.19,9,0.507
110,20.34,7,0.617
111,21.42,7,0.606
112,19.80,7,0.646
113,20.10,6,0.617
114,23.29,7,0.583
115,23.15,7,0.547
116,22.42,4,0.621
117,22.80,6,0.588
118,20.90,4,0.648
119,20.21,3,0.741
120,19.96,6,0.530
121,20.14,4,0.639
122,19.94,3,0.760
123,21.26,4,0.627
124,22.70,4,0.626
125,22.63,4,0.656
126,20.14,4,0.579
127,20.44,3,0.632
128,20.19,3,0.586
129,22.51,3,0.544
130,22.61,4,0.414
131,22.44,2,0.451
132,22.57,2,0.470
133,22.18,2,0.668
134,19.76,2,0.536
135,20.46,2,0.496
136,20.45,2,0.435
137,21.50,2,0.458
138,19.78,2,0.402
139,20.40,1,0.743
140,22.96,3,0.349
141,22.77,3,0.386
142,22.96,1,0.729
143,20.23,1,0.532
144,20.42,1,0.571
145,20.44,1,0.761
146,22.49,1,0.817
147,22.73,1,0.819
148,20.02,2,0.545
149,20.39,2,0.514
150,20.83,2,0.456
