frame,latencia_ms,num_deteccoes,confianca_media
0,27.52,2,0.371
1,25.80,2,0.405
2,26.23,2,0.450
3,23.57,2,0.449
4,26.30,2,0.377
5,23.67,2,0.527
6,24.27,2,0.540
7,23.81,2,0.589
8,26.57,2,0.367
9,23.66,0,0.000
10,26.14,1,0.801
11,23.65,0,0.000
12,23.73,1,0.396
13,23.44,1,0.371
14,23.75,0,0.000
15,23.71,0,0.000
16,24.28,0,0.000
17,23.79,0,0.000
18,23.54,0,0.000
19,24.23,1,0.369
20,27.56,1,0.297
21,26.55,1,0.456
22,27.15,2,0.421
23,23.69,2,0.447
24,23.77,2,0.446
25,24.20,2,0.494
26,23.47,1,0.575
27,23.69,1,0.612
28,23.57,1,0.781
29,25.44,1,0.612
30,26.44,1,0.420
31,24.26,1,0.294
32,26.22,1,0.251
33,23.59,1,0.271
34,24.96,1,0.427
35,24.33,1,0.461
36,23.36,1,0.352
37,23.82,1,0.313
38,26.53,0,0.000
39,25.25,1,0.388
40,23.29,2,0.386
41,24.25,2,0.490
42,23.91,3,0.534
43,24.59,3,0.576
44,27.17,3,0.558
45,24.10,4,0.520
46,27.08,4,0.575
47,26.76,4,0.624
48,24.50,5,0.531
49,25.20,4,0.645
50,23.50,5,0.624
51,25.53,6,0.573
52,24.85,5,0.593
53,23.80,5,0.526
54,25.56,7,0.515
55,24.03,6,0.580
56,26.88,6,0.570
57,26.92,5,0.586
58,26.83,7,0.531
59,27.01,6,0.534
60,25.36,7,0.518
61,23.43,6,0.522
62,27.09,5,0.555
63,26.68,6,0.530
64,26.83,5,0.612
65,24.25,6,0.517
66,26.83,5,0.615
67,25.20,4,0.643
68,24.67,5,0.583
69,24.02,6,0.605
70,25.48,6,0.582
71,25.34,6,0.557
72,23.79,4,0.628
73,24.18,3,0.685
74,25.26,6,0.509
75,26.48,5,0.658
76,26.95,5,0.620
77,24.51,6,0.603
78,26.44,5,0.572
79,26.73,5,0.589
80,24.17,4,0.538
81,25.28,5,0.571
82,23.77,6,0.487
83,24.98,4,0.545
84,27.00,5,0.469
85,24.16,3,0.580
86,24.74,3,0.535
87,23.74,2,0.743
88,23.94,2,0.750
89,27.03,3,0.598
90,25.24,3,0.571
91,26.32,3,0.593
92,26.80,2,0.750
93,26.69,4,0.524
94,26.88,4,0.505
95,26.59,3,0.659
96,23.57,4,0.549
97,24.16,3,0.744
98,24.15,4,0.641
99,27.00,4,0.681
100,24.60,4,0.687
101,23.56,4,0.681
102,24.21,4,0.607
103,26.80,5,0.566
104,27.15,4,0.714
105,24.16,5,0.572
106,24.31,5,0.550
107,25.91,5,0.633
108,26.66,4,0.591
109,24.32,7,0.527
110,24.89,5,0.619
111,27.15,6,0.553
112,24.55,7,0.513
113,25.32,5,0.524
114,24.39,6,0.520
115,25.42,6,0.526
116,24.35,3,0.697
117,25.47,5,0.549
118,24.19,4,0.581
119,25.14,3,0.692
120,25.05,4,0.582
121,25.19,4,0.554
122,23.30,4,0.635
123,27.14,4,0.581
124,27.25,4,0.620
125,24.17,4,0.657
126,23.97,4,0.566
127,31.30,3,0.650
128,26.54,3,0.594
129,24.04,4,0.490
130,23.69,4,0.459
131,24.05,2,0.423
132,24.73,2,0.382
133,24.11,2,0.543
134,23.65,2,0.423
135,27.28,2,0.497
136,27.61,2,0.473
137,26.94,2,0.356
138,25.10,3,0.320
139,25.05,2,0.555
140,24.02,2,0.429
141,25.11,2,0.365
142,24.19,1,0.638
143,24.78,3,0.358
144,24.95,2,0.373
145,23.78,2,0.523
146,24.02,1,0.765
147,23.90,2,0.570
148,25.52,2,0.545
149,27.53,1,0.653
150,25.08,1,0.519
151,26.92,1,0.333
152,26.81,0,0.000
153,25.42,1,0.505
154,26.31,1,0.631
155,27.34,1,0.317
156,27.18,1,0.665
157,24.52,1,0.563
158,24.64,1,0.592
159,28.36,1,0.497
160,24.15,1,0.524
161,27.40,1,0.513
162,26.98,2,0.364
163,27.07,1,0.621
164,25.77,1,0.503
165,24.77,2,0.369
166,26.53,2,0.556
167,25.49,1,0.317
168,27.09,1,0.251
169,24.79,2,0.390
170,23.97,1,0.493
171,23.58,1,0.369
172,24.91,3,0.428
173,24.33,3,0.477
174,33.49,3,0.470
175,33.74,1,0.706
176,31.33,1,0.644
177,25.22,2,0.710
178,23.81,1,0.610
179,27.03,3,0.466
180,27.58,2,0.510
181,24.70,2,0.481
182,23.38,3,0.439
183,25.38,2,0.524
184,25.96,1,0.720
185,27.32,1,0.743
186,27.48,1,0.740
187,24.23,1,0.769
188,26.67,1,0.656
189,28.69,1,0.713
190,29.51,1,0.725
191,30.10,1,0.685
192,26.98,2,0.484
193,25.30,1,0.749
194,24.19,1,0.493
195,25.14,1,0.719
196,26.79,1,0.662
197,27.12,2,0.388
198,25.63,1,0.743
199,26.88,1,0.683
200,24.49,1,0.695
201,25.44,2,0.567
202,24.21,2,0.674
203,26.95,3,0.414
204,27.25,3,0.542
205,23.92,3,0.459
206,24.20,3,0.411
207,27.92,2,0.485
208,24.87,2,0.480
209,27.62,2,0.535
210,24.70,2,0.592
211,24.48,2,0.492
212,24.95,3,0.557
213,24.20,3,0.559
214,24.86,2,0.635
215,26.39,4,0.534
216,25.90,3,0.609
217,26.62,3,0.579
218,27.28,3,0.566
219,25.43,4,0.567
220,26.68,4,0.677
221,26.87,4,0.662
222,25.31,4,0.642
223,23.65,3,0.687
224,24.58,4,0.697
225,24.20,4,0.644
226,24.45,3,0.710
227,24.90,3,0.744
228,24.56,3,0.743
229,24.94,3,0.731
230,24.88,3,0.757
231,24.80,3,0.760
232,23.88,3,0.717
233,27.01,3,0.709
234,27.10,3,0.596
235,26.97,2,0.692
236,26.99,2,0.757
237,27.32,4,0.503
238,27.18,3,0.636
239,27.31,3,0.615
240,24.68,4,0.552
241,24.23,3,0.617
242,26.48,4,0.628
243,26.63,4,0.568
244,27.12,4,0.518
245,25.93,4,0.483
246,23.97,3,0.581
247,24.32,3,0.565
248,26.42,4,0.451
249,25.64,2,0.660
250,24.23,3,0.543
251,26.17,2,0.665
252,25.56,3,0.505
253,24.08,2,0.585
254,28.05,2,0.627
255,25.60,3,0.549
256,26.92,3,0.514
257,25.10,2,0.731
258,26.36,3,0.532
259,25.13,2,0.540
260,24.25,2,0.679
261,26.26,4,0.375
262,25.27,2,0.549
263,24.36,2,0.386
264,27.30,3,0.405
265,24.69,3,0.419
266,25.40,3,0.421
267,25.26,5,0.404
268,27.14,1,0.680
269,25.93,3,0.461
270,23.81,3,0.422
271,26.14,1,0.682
272,25.35,3,0.354
273,24.78,3,0.434
274,26.15,2,0.541
275,24.18,4,0.521
276,25.86,4,0.485
277,25.47,4,0.477
278,24.05,4,0.410
279,27.14,2,0.640
280,24.58,2,0.669
281,28.92,2,0.645
282,23.87,3,0.651
283,24.12,4,0.509
284,26.25,5,0.535
285,25.51,4,0.616
286,25.06,4,0.552
287,26.65,4,0.565
288,27.82,2,0.723
289,25.71,2,0.659
290,25.52,4,0.435
291,24.35,4,0.469
292,26.93,3,0.484
293,24.84,1,0.866
294,25.22,1,0.877
295,24.12,2,0.575
296,24.20,1,0.864
297,24.98,1,0.836
298,25.84,1,0.851
299,24.53,1,0.807
300,24.56,1,0.710
301,25.31,2,0.603
302,25.01,1,0.777
303,24.81,2,0.486
304,27.62,2,0.799
305,25.94,3,0.587
306,25.78,2,0.630
307,25.45,2,0.647
308,25.90,1,0.933
309,27.21,2,0.600
310,26.03,2,0.692
311,25.64,2,0.612
312,27.10,3,0.557
313,26.12,2,0.678
314,27.06,3,0.521
315,27.03,2,0.580
316,25.26,2,0.597
317,27.11,3,0.495
318,26.96,3,0.571
319,24.36,3,0.573
320,25.38,2,0.649
321,26.96,3,0.502
322,25.75,2,0.618
323,23.55,2,0.621
324,24.87,1,0.877
325,27.15,2,0.577
326,27.81,2,0.661
327,25.88,3,0.576
328,24.10,2,0.768
329,25.66,2,0.841
330,24.84,2,0.886
331,25.71,2,0.891
332,24.31,2,0.901
333,24.48,2,0.864
334,27.60,2,0.619
335,25.74,2,0.623
336,24.90,2,0.599
337,26.86,2,0.707
338,27.40,4,0.562
339,25.29,4,0.553
340,25.06,3,0.669
341,26.86,4,0.599
342,25.42,5,0.537
343,24.25,4,0.661
344,24.74,5,0.653
345,25.18,5,0.619
346,30.74,5,0.641
347,26.70,3,0.684
348,24.15,4,0.551
349,23.94,3,0.662
350,24.18,2,0.856
351,24.82,2,0.856
352,24.50,2,0.911
353,25.81,4,0.599
354,27.38,3,0.680
355,26.87,3,0.743
356,25.02,3,0.720
357,24.03,2,0.877
358,27.34,3,0.680
359,27.04,4,0.620
360,27.22,2,0.703
361,27.43,1,0.942
362,27.28,2,0.702
363,27.25,2,0.600
364,25.82,2,0.587
365,26.79,2,0.575
366,27.39,2,0.483
367,27.34,2,0.495
368,25.90,1,0.531
369,26.89,2,0.443
370,27.39,2,0.507
371,25.51,4,0.409
372,24.52,4,0.439
373,27.78,4,0.420
374,27.40,1,0.765
375,26.13,1,0.847
376,25.26,2,0.566
377,27.00,2,0.586
378,25.30,1,0.906
379,24.81,2,0.681
380,25.89,1,0.913
381,25.96,2,0.611
382,24.82,2,0.628
383,24.49,2,0.755
384,25.32,2,0.760
385,24.64,2,0.724
386,26.03,2,0.701
387,27.38,2,0.677
388,25.98,2,0.605
389,27.08,1,0.926
390,24.03,1,0.921
391,26.38,1,0.924
392,24.68,1,0.906
393,23.16,1,0.912
394,23.32,1,0.898
395,23.26,1,0.913
396,23.77,1,0.919
397,23.70,1,0.929
398,22.41,2,0.588
399,26.68,1,0.920
