frame,latencia_ms
0,28.34
1,22.45
2,22.19
3,22.74
4,20.28
5,20.91
6,21.70
7,20.75
8,20.86
9,20.55
10,21.02
11,20.66
12,20.11
13,20.63
14,20.69
15,20.50
16,21.40
17,20.58
18,20.79
19,20.48
20,20.71
21,21.12
22,21.02
23,21.33
24,20.66
25,21.10
26,21.00
27,21.50
28,20.12
29,20.87
30,20.28
31,21.00
32,20.38
33,20.52
34,20.50
35,20.96
36,20.61
37,20.64
38,21.16
39,20.29
40,20.62
41,21.16
42,20.97
43,22.83
44,20.83
45,20.72
46,20.83
47,22.39
48,21.20
49,20.63
50,21.09
51,21.42
52,20.93
53,21.81
54,20.80
55,21.61
56,20.66
57,20.77
58,20.99
59,22.23
60,23.34
61,21.90
62,21.28
63,21.19
64,21.24
65,25.28
66,21.87
67,21.03
68,20.50
69,21.01
70,20.97
71,21.63
72,20.54
73,20.82
74,20.92
75,20.62
76,20.64
77,24.67
78,23.23
79,21.77
80,24.05
81,22.19
82,22.15
83,22.50
84,21.25
85,23.43
86,21.22
87,21.00
88,21.33
89,20.58
90,20.83
91,20.88
92,20.27
93,20.14
94,20.18
95,20.33
96,20.53
97,20.11
98,20.17
99,20.26
100,20.59
101,20.00
102,19.69
103,19.92
104,20.07
105,20.32
106,22.19
107,20.74
108,20.94
109,20.96
110,20.55
111,21.87
112,20.12
113,20.28
114,20.49
115,20.18
116,20.49
117,21.70
118,20.02
119,20.34
120,20.31
121,20.32
122,20.34
123,20.65
124,20.71
125,20.37
126,20.41
127,20.44
128,20.13
129,20.82
130,20.66
131,20.67
132,20.16
133,21.03
134,20.36
135,20.88
136,21.44
137,20.86
138,20.39
139,20.25
140,20.47
141,20.72
142,20.47
143,21.09
144,20.96
145,20.73
146,20.55
147,20.13
148,20.55
149,20.96
150,20.57
151,20.75
152,20.87
153,20.37
154,20.24
155,20.48
156,20.37
157,20.57
158,20.61
159,20.92
160,20.58
161,20.23
162,20.80
163,21.15
164,20.61
165,20.17
166,20.54
167,20.79
168,20.46
169,21.36
170,20.50
171,20.11
172,20.83
173,21.27
174,19.90
175,21.20
176,20.60
177,20.79
178,20.21
179,20.50
180,20.52
181,20.72
182,20.88
183,20.75
184,20.50
185,21.04
186,20.60
187,20.62
188,20.02
189,20.17
190,20.88
191,20.72
192,20.48
193,20.84
194,21.28
195,20.31
196,20.40
197,21.08
198,20.51
199,19.97
200,20.65
201,19.83
202,21.62
203,20.01
204,19.97
205,19.84
206,20.58
207,20.26
208,20.26
209,20.32
210,20.60
211,21.85
212,20.73
213,20.67
214,21.56
215,20.90
216,20.49
217,20.63
218,20.27
219,21.04
220,20.27
221,20.78
222,20.59
223,20.34
224,20.60
225,20.44
226,20.38
227,20.22
228,20.97
229,20.23
230,20.28
231,20.31
232,20.48
233,20.51
234,20.30
235,20.54
236,20.43
237,19.64
238,20.77
239,20.62
240,20.59
241,21.06
242,20.12
243,20.84
244,20.76
245,20.34
246,20.92
247,20.47
248,20.24
249,20.64
250,20.52
251,21.27
252,21.04
253,20.67
254,20.78
255,36.13
256,21.51
257,21.52
258,22.79
259,21.53
260,21.70
261,20.92
262,21.05
263,20.74
264,21.37
265,21.77
266,21.84
267,20.93
268,21.42
269,21.27
270,21.70
271,21.75
272,21.12
273,20.92
274,21.34
275,20.63
276,21.17
277,21.04
278,25.67
279,21.11
280,22.29
281,20.83
282,22.15
283,20.96
284,21.23
285,21.73
286,20.80
287,20.37
288,22.80
289,20.91
290,21.92
291,21.39
292,21.53
293,20.65
294,22.77
295,21.53
296,21.29
297,22.38
298,21.07
299,21.20
300,21.11
301,21.37
302,25.19
303,21.24
304,22.07
305,21.59
306,20.25
307,20.66
308,21.36
309,20.57
310,20.88
311,20.63
312,21.12
313,20.52
314,21.84
315,21.11
316,20.86
317,20.78
318,21.73
319,20.94
320,21.01
321,21.61
322,20.95
323,20.64
324,21.23
325,21.11
326,21.53
327,26.97
328,20.20
329,21.54
330,21.04
331,20.56
332,20.88
333,20.51
334,20.22
335,20.99
336,20.48
337,20.55
338,20.65
339,21.36
340,21.34
341,20.86
342,20.38
343,20.24
344,20.28
345,20.37
346,20.18
347,20.72
348,20.43
349,20.17
350,20.21
351,19.97
352,20.85
353,20.54
354,20.23
355,20.62
356,20.14
357,20.23
358,19.53
359,21.04
360,20.42
361,20.72
362,20.20
363,20.66
364,21.48
365,20.79
366,20.38
367,20.98
368,20.16
369,20.34
370,20.48
371,20.33
372,21.35
373,20.62
374,20.63
375,20.30
376,20.68
377,20.70
378,21.59
379,19.70
380,20.55
381,20.25
382,20.82
383,20.60
384,20.82
385,20.57
386,20.49
387,20.12
388,20.67
389,19.53
390,19.64
391,19.45
392,18.78
393,19.37
394,19.54
395,19.44
396,19.78
397,19.55
398,19.50
399,19.49
